2023-02-01 16:31:10,048 | MainThread   | [INFO    ] | _connect            |: Connected to c0:83:24:6a:9a:3c
2023-02-01 16:31:32,766 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2023-02-01 16:31:32,769 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from E3B6D8B5-E814-4EC8-30D3-C58AADA24D08
2023-02-01 16:31:32,771 | MainThread   | [INFO    ] | exit_handler        |: Gracefully Exiting
2023-02-01 16:56:52,383 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=9, micro=10, releaselevel='final', serial=0)
2023-02-01 16:56:52,384 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-12.6-x86_64-i386-64bit
2023-02-01 16:56:52,385 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:24:6a:9a:3c
2023-02-01 16:56:55,559 | MainThread   | [INFO    ] | _connect            |: Connected to c0:83:24:6a:9a:3c
2023-02-01 16:57:33,452 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2023-02-01 16:57:33,458 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from E3B6D8B5-E814-4EC8-30D3-C58AADA24D08
2023-02-01 16:57:33,479 | MainThread   | [INFO    ] | exit_handler        |: Gracefully Exiting
2023-02-01 16:57:42,055 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=9, micro=10, releaselevel='final', serial=0)
2023-02-01 16:57:42,056 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-12.6-x86_64-i386-64bit
2023-02-01 16:57:42,056 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:24:6a:9a:3c
2023-02-01 16:57:45,227 | MainThread   | [INFO    ] | _connect            |: Connected to c0:83:24:6a:9a:3c
2023-02-01 16:58:20,177 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2023-02-01 16:58:20,182 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from E3B6D8B5-E814-4EC8-30D3-C58AADA24D08
2023-02-01 16:58:20,183 | MainThread   | [INFO    ] | exit_handler        |: Gracefully Exiting
2023-02-01 16:58:42,033 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=9, micro=10, releaselevel='final', serial=0)
2023-02-01 16:58:42,034 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-12.6-x86_64-i386-64bit
2023-02-01 16:58:42,034 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:24:6a:9a:3c
2023-02-01 16:58:44,811 | MainThread   | [ERROR   ] | _connect            |: disconnected
2023-02-01 16:58:45,817 | MainThread   | [WARNING ] | connect             |: Attempting to connect again...
2023-02-01 16:58:45,821 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:24:6a:9a:3c
2023-02-01 16:58:48,456 | MainThread   | [INFO    ] | _connect            |: Connected to c0:83:24:6a:9a:3c
2023-02-01 17:01:09,983 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from E3B6D8B5-E814-4EC8-30D3-C58AADA24D08
2023-02-01 17:20:28,495 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:24:6a:9a:3c
2023-02-01 17:24:17,917 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:24:6a:9a:3c
2023-02-01 17:24:33,276 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2023-02-01 17:24:33,277 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
2023-02-01 17:24:33,279 | MainThread   | [WARNING ] | exit_handler        |: Not connected to a BLE device
2023-02-01 17:24:38,055 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=9, micro=10, releaselevel='final', serial=0)
2023-02-01 17:24:38,056 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-12.6-x86_64-i386-64bit
2023-02-01 17:24:38,056 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:24:6a:9a:3c
2023-02-01 17:26:42,169 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:24:6a:9a:3c
2023-02-01 17:27:05,647 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2023-02-01 17:27:05,650 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
2023-02-01 17:27:05,651 | MainThread   | [WARNING ] | exit_handler        |: Not connected to a BLE device
2023-02-01 17:27:11,540 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=9, micro=10, releaselevel='final', serial=0)
2023-02-01 17:27:11,540 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-12.6-x86_64-i386-64bit
2023-02-01 17:27:11,540 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:24:6a:9a:3c
2023-02-01 17:47:55,464 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:24:6a:9a:3c
2023-02-01 17:47:58,027 | MainThread   | [INFO    ] | _connect            |: Connected to c0:83:24:6a:9a:3c
2023-02-01 17:50:08,399 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from E3B6D8B5-E814-4EC8-30D3-C58AADA24D08
2023-02-01 17:50:16,416 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:24:6a:9a:3c
2023-02-01 17:50:18,990 | MainThread   | [INFO    ] | _connect            |: Connected to c0:83:24:6a:9a:3c
2023-02-01 17:50:55,608 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2023-02-01 17:50:55,612 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from E3B6D8B5-E814-4EC8-30D3-C58AADA24D08
2023-02-01 17:50:55,613 | MainThread   | [INFO    ] | exit_handler        |: Gracefully Exiting
2023-02-01 17:51:02,232 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=9, micro=10, releaselevel='final', serial=0)
